Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Calidad_Aire
29.9,84.5,11.5,24.0,22.2,7.7,1.69,Excelente
22.8,52.5,10.8,16.0,15.5,9.5,1.07,Excelente
35.9,69.9,6.2,17.2,34.0,12.5,2.18,Excelente
30.6,41.9,7.0,11.5,17.0,6.5,1.12,Excelente
35.2,85.5,0.5,12.4,30.8,12.2,1.91,Excelente
20.6,60.3,33.8,38.3,19.9,1.1,1.07,Buena
22.5,40.7,26.5,31.8,26.4,7.0,1.18,Buena
26.8,75.7,16.6,23.9,21.0,1.6,1.01,Buena
36.4,111.6,35.8,67.0,43.1,8.3,2.32,Regular
25.1,42.6,12.3,20.1,25.0,6.3,1.08,Buena
36.2,63.6,16.1,27.3,23.4,9.6,1.73,Buena
35.4,78.9,3.9,15.7,33.5,15.8,1.97,Excelente
40.3,66.1,11.8,21.0,43.4,15.8,2.02,Excelente
22.7,89.6,19.5,35.4,27.0,10.8,1.37,Buena
32.7,93.0,12.6,23.5,23.5,0.8,1.51,Buena
33.3,73.1,21.6,33.1,44.5,7.4,1.98,Buena
28.0,65.5,0.3,7.1,11.8,5.9,1.12,Excelente
29.1,76.2,2.0,7.3,20.3,5.4,0.98,Excelente
25.9,59.9,2.4,6.1,31.7,13.9,1.47,Excelente
42.0,77.9,9.5,31.0,37.6,17.0,2.38,Excelente
32.9,63.1,12.1,17.5,24.7,12.3,1.57,Buena
29.8,85.5,6.2,15.4,34.0,4.5,1.34,Excelente
32.0,88.8,4.7,13.5,29.4,11.5,1.62,Excelente
34.1,79.1,165.5,190.7,45.3,9.0,1.95,Muy Mala
42.8,116.1,10.3,31.6,36.9,15.3,2.34,Excelente
35.5,86.0,75.7,86.8,19.8,12.1,1.79,Mala
26.2,52.6,11.3,11.5,29.3,14.6,1.55,Excelente
26.1,54.5,1.5,5.8,17.2,3.1,0.98,Excelente
19.1,64.9,2.5,10.5,26.0,6.0,1.08,Excelente
34.1,72.9,2.2,15.6,33.6,4.9,1.43,Excelente
23.2,88.9,55.5,60.9,31.4,13.1,1.19,Mala
27.6,79.3,14.0,40.2,37.6,10.6,2.24,Buena
19.5,42.7,3.8,8.6,23.8,1.7,1.06,Excelente
31.2,54.0,16.4,22.8,23.0,3.9,1.59,Buena
31.5,53.9,2.5,10.8,29.9,12.7,1.58,Excelente
47.7,69.2,41.8,50.7,38.3,22.2,2.58,Regular
27.7,81.8,1.1,8.9,26.5,20.1,1.33,Excelente
24.6,52.4,4.1,18.1,27.0,14.7,1.4,Excelente
36.4,107.9,16.4,32.0,25.7,14.7,2.03,Buena
31.2,54.1,8.2,15.0,16.3,4.6,0.88,Excelente
37.6,94.4,19.5,27.3,50.3,6.2,2.47,Buena
27.4,76.3,10.4,14.1,10.3,5.4,0.91,Excelente
29.0,79.2,66.5,82.1,25.8,16.7,1.51,Mala
26.5,41.4,6.8,11.8,26.6,6.4,0.88,Excelente
25.0,63.5,24.7,27.0,16.1,2.0,0.91,Buena
41.0,82.3,90.1,109.2,48.8,27.5,1.52,Mala
26.5,79.2,51.0,58.8,22.3,12.0,1.54,Regular
36.0,75.2,4.7,10.5,33.5,0.4,1.72,Excelente
23.6,76.1,1.2,5.8,25.8,4.5,1.01,Excelente
26.7,48.8,19.7,23.8,31.8,5.3,1.27,Buena
28.2,75.8,164.9,168.7,22.9,15.4,1.53,Muy Mala
31.6,105.9,0.4,15.7,38.4,11.9,1.34,Excelente
21.8,43.3,1.3,5.1,19.8,8.0,0.84,Excelente
29.4,56.0,24.3,41.9,30.5,5.3,1.64,Buena
34.6,86.1,17.8,28.9,37.4,10.2,1.44,Buena
30.5,62.3,13.3,18.8,19.7,5.2,1.01,Buena
26.5,86.3,28.0,54.1,56.6,9.6,2.02,Desconocido
33.5,58.9,12.1,29.4,49.8,16.7,2.02,Buena
24.4,59.3,8.9,15.7,26.4,6.6,0.94,Excelente
22.6,54.6,20.7,25.1,14.1,4.0,1.04,Buena
25.6,87.4,23.6,32.3,29.2,3.1,1.59,Buena
24.6,71.2,21.1,41.7,27.0,17.7,1.93,Buena
42.2,83.4,40.3,49.7,36.8,15.8,1.39,Regular
28.3,82.7,11.7,19.7,28.6,14.5,1.27,Excelente
39.8,78.5,21.5,41.4,32.3,29.5,2.5,Buena
24.4,66.2,2.9,8.6,20.8,5.6,0.93,Excelente
20.3,63.0,21.7,24.1,16.5,4.3,0.89,Buena
21.3,48.3,2.4,5.8,15.5,6.3,1.08,Excelente
28.4,44.5,8.7,16.6,25.0,0.9,1.03,Excelente
22.2,43.1,5.1,9.0,15.7,3.2,1.0,Excelente
31.3,73.8,33.8,46.6,31.0,22.8,1.92,Buena
26.3,74.5,12.7,18.3,21.1,1.1,1.01,Buena
30.9,60.3,56.3,68.7,22.8,10.5,1.4,Mala
27.8,75.4,6.0,14.4,16.8,12.8,1.47,Excelente
32.3,80.6,11.0,17.6,25.8,3.1,1.26,Excelente
26.0,66.5,1.7,5.4,20.2,5.8,1.0,Excelente
23.5,60.1,0.4,7.2,17.2,6.1,1.02,Excelente
25.7,67.7,43.0,52.4,22.5,7.2,1.35,Regular
24.0,45.3,20.8,25.7,12.9,3.6,0.77,Buena
31.8,80.1,5.6,7.6,24.4,16.6,1.56,Excelente
33.2,90.6,42.9,57.2,22.4,13.0,2.44,Regular
27.4,73.5,17.1,22.1,15.7,8.3,0.92,Buena
35.1,82.5,3.8,13.0,45.4,3.9,2.24,Excelente
33.1,61.0,27.7,39.2,25.8,10.2,1.84,Buena
22.9,50.0,19.2,23.4,18.8,6.0,0.95,Buena
31.4,94.3,68.9,72.8,24.0,14.3,1.99,Mala
23.9,65.3,26.1,33.5,22.3,1.4,1.03,Buena
38.6,72.2,48.8,67.7,36.2,28.6,2.21,Regular
49.8,79.2,70.1,82.7,50.3,20.6,1.91,Mala
23.1,60.1,1.5,8.0,19.3,6.3,1.08,Excelente
26.9,53.5,20.0,28.4,29.5,5.3,1.36,Buena
28.7,77.3,23.1,24.7,12.1,7.6,1.02,Buena
31.0,71.4,4.3,10.3,19.5,7.9,0.99,Excelente
32.8,73.6,18.6,39.5,21.4,12.2,2.21,Buena
22.4,57.3,5.8,9.6,23.6,4.3,1.08,Excelente
27.2,52.7,7.4,13.9,22.2,5.4,0.94,Excelente
26.6,64.1,3.0,11.3,26.8,3.7,0.95,Excelente
22.9,52.6,7.6,15.3,26.3,4.4,0.99,Excelente
30.7,71.1,26.1,34.5,19.0,3.2,0.78,Buena
20.2,40.4,3.6,13.5,20.5,5.4,1.03,Excelente
26.2,80.8,10.2,16.3,13.9,3.2,0.86,Excelente
25.4,73.2,28.7,35.4,12.3,6.0,1.13,Buena
33.4,59.9,33.0,41.0,25.4,10.8,1.64,Buena
26.7,41.7,13.2,18.9,18.9,6.3,0.9,Buena
34.5,71.4,29.5,52.6,37.9,17.1,2.09,Buena
40.5,70.4,35.8,44.7,22.2,9.7,1.33,Regular
35.6,75.3,48.1,63.6,43.7,29.2,3.03,Regular
27.1,79.9,31.7,50.9,47.6,5.2,2.0,Buena
26.7,85.4,4.9,11.9,26.3,19.4,2.22,Excelente
39.2,111.2,25.7,46.9,45.6,25.2,2.25,Buena
38.1,96.6,59.5,79.6,40.5,24.4,2.41,Mala
26.5,78.9,6.3,18.5,34.9,11.6,1.95,Excelente
23.2,40.3,2.3,8.9,19.5,5.7,0.89,Excelente
33.6,48.8,19.2,27.3,17.1,4.3,1.04,Buena
27.0,67.8,24.8,28.9,12.9,3.9,1.1,Buena
41.9,90.1,26.6,50.7,46.3,18.2,2.38,Buena
29.9,78.6,25.1,30.1,26.5,7.2,1.49,Buena
26.4,76.0,16.0,32.9,31.8,10.6,2.15,Buena
32.6,71.9,48.0,60.0,30.8,6.8,2.0,Regular
16.7,52.9,0.0,7.3,19.9,6.9,0.95,Excelente
21.5,59.9,4.1,5.5,15.1,7.1,0.97,Excelente
29.9,54.2,24.6,38.5,30.9,14.1,1.67,Buena
30.6,47.9,14.4,18.8,16.1,2.4,1.05,Buena
29.2,77.7,35.4,36.1,37.1,17.9,2.24,Buena
29.4,42.7,1.7,7.8,19.1,4.5,0.84,Excelente
33.3,66.3,13.6,25.8,19.3,12.9,1.41,Buena
28.9,53.4,5.4,22.0,26.2,18.6,1.44,Excelente
34.1,62.3,130.0,137.4,33.6,7.1,2.04,Mala
28.7,67.4,11.0,15.2,19.2,8.3,1.13,Excelente
35.3,65.3,25.6,36.8,19.2,6.0,1.57,Buena
27.9,48.1,1.3,14.6,32.5,0.9,1.55,Excelente
24.1,74.7,5.1,12.1,10.5,6.4,1.07,Excelente
31.3,100.0,11.1,35.6,39.1,35.8,1.95,Excelente
30.4,78.9,17.5,30.8,26.1,7.9,1.39,Buena
26.8,67.2,7.9,17.1,25.1,6.7,0.99,Excelente
28.6,83.1,19.9,29.1,35.8,12.3,1.93,Buena
25.8,62.6,11.7,16.7,10.0,6.6,1.01,Excelente
28.9,49.8,0.3,1.5,20.5,8.5,1.13,Excelente
42.9,104.0,52.5,80.9,22.9,13.0,2.42,Regular
44.2,101.0,2.6,10.2,30.3,24.3,1.91,Excelente
21.0,93.8,6.3,19.4,37.5,13.6,2.18,Excelente
31.3,84.7,35.5,42.0,17.9,11.1,1.23,Regular
23.0,48.9,0.5,8.8,20.2,4.5,1.08,Excelente
38.5,95.4,66.9,92.3,46.0,15.7,2.63,Mala
29.6,46.2,0.8,4.4,26.8,3.6,1.03,Excelente
40.3,73.4,11.3,29.9,31.4,25.3,2.11,Excelente
41.2,85.9,3.4,21.2,39.6,8.4,2.27,Excelente
29.1,41.5,0.9,4.8,18.7,3.4,1.02,Excelente
26.7,53.8,6.9,21.8,25.3,7.7,1.59,Excelente
29.7,69.0,18.0,26.3,28.9,9.8,1.58,Buena
29.5,69.8,5.9,21.1,27.6,18.9,1.82,Excelente
40.0,83.4,5.0,25.6,45.0,14.5,2.4,Excelente
31.6,77.8,12.3,18.1,31.8,8.9,1.72,Buena
29.5,67.3,5.1,11.7,20.5,3.6,1.11,Excelente
32.2,66.7,22.8,34.7,29.6,17.6,2.69,Buena
28.7,63.9,13.5,25.3,16.2,10.9,1.17,Buena
26.4,51.1,0.7,3.6,27.8,9.6,1.09,Excelente
37.0,100.4,19.8,34.2,32.7,15.8,2.18,Buena
32.2,84.1,4.3,13.3,20.1,12.6,1.38,Excelente
22.9,50.1,7.0,13.7,12.1,8.4,1.09,Excelente
31.5,73.7,1.1,24.1,37.5,23.6,1.78,Excelente
52.3,74.5,14.9,24.0,29.7,19.3,1.78,Buena
35.7,82.0,40.5,57.9,25.3,13.6,2.14,Regular
32.2,70.0,3.5,10.2,25.4,19.3,2.59,Excelente
35.6,57.6,19.4,33.5,35.1,10.0,1.57,Buena
23.4,54.7,4.0,12.3,24.1,2.8,0.87,Excelente
24.8,80.3,9.2,14.0,12.2,4.8,0.9,Excelente
31.3,75.0,37.8,47.1,32.6,11.0,1.87,Regular
27.2,42.8,12.5,15.0,14.6,3.3,1.1,Buena
26.2,64.2,1.9,6.6,19.7,6.2,1.05,Excelente
51.1,70.0,2.2,3.8,39.8,20.1,2.65,Excelente
33.8,71.4,35.9,59.1,36.1,15.0,1.74,Regular
34.6,80.3,8.6,29.2,31.5,7.4,1.28,Excelente
34.6,71.6,21.7,37.5,30.7,16.4,2.18,Buena
27.4,78.0,5.0,21.9,33.8,16.5,1.57,Excelente
26.8,42.1,5.4,11.7,20.1,4.5,0.85,Excelente
33.2,72.0,4.1,16.3,24.8,6.6,2.02,Excelente
40.8,93.8,11.3,27.2,53.4,23.2,2.72,Excelente
16.0,64.1,13.4,18.9,24.4,2.0,1.0,Buena
30.9,73.7,5.5,10.2,32.5,2.3,1.83,Excelente
35.0,80.2,11.9,24.4,30.4,14.1,1.71,Excelente
31.2,86.3,39.3,52.8,16.8,9.9,1.73,Regular
26.0,86.8,85.4,95.8,24.8,3.9,1.23,Mala
25.4,74.2,40.6,46.1,19.7,9.9,1.32,Regular
38.5,83.8,19.5,31.0,28.0,14.3,2.22,Buena
30.9,89.0,7.3,30.9,37.3,6.8,2.21,Excelente
45.5,67.6,51.4,64.5,36.9,9.4,1.93,Regular
23.2,86.5,3.1,21.4,22.3,15.0,1.56,Excelente
38.9,77.5,5.2,25.6,43.7,15.4,2.32,Excelente
32.8,63.6,33.1,54.9,33.0,19.6,1.48,Desconocido
49.9,91.6,26.6,51.1,31.8,29.0,2.48,Buena
30.8,84.4,34.2,50.3,27.8,16.1,1.3,Buena
26.6,66.0,2.2,3.7,27.7,11.7,1.63,Excelente
40.6,92.2,80.4,103.6,45.8,12.1,1.97,Mala
26.0,45.3,5.3,12.4,27.4,7.2,0.78,Excelente
33.0,47.0,16.4,23.0,26.3,4.9,1.22,Buena
17.7,75.2,3.5,8.0,18.6,2.0,1.04,Excelente
31.5,55.4,50.2,68.7,31.5,6.0,2.13,Regular
40.0,94.4,19.9,49.3,51.0,22.5,2.47,Buena
39.5,70.4,9.9,30.3,48.3,36.8,2.68,Excelente
25.3,73.8,6.5,19.1,32.4,12.6,1.2,Excelente
18.9,63.2,6.2,8.0,13.9,5.0,1.09,Excelente
28.2,73.5,3.8,14.8,24.8,11.1,1.11,Excelente
34.3,102.4,38.8,58.4,40.4,12.8,2.09,Regular
27.8,56.7,6.7,18.0,26.9,6.1,1.64,Excelente
26.7,52.8,27.3,31.8,15.6,1.9,0.89,Buena
38.2,110.1,0.1,12.5,41.7,15.8,1.98,Excelente
27.8,79.0,16.6,24.0,25.5,5.2,1.06,Buena
22.1,41.0,14.8,20.3,12.8,4.9,1.18,Buena
22.9,57.4,15.9,22.8,20.6,7.5,0.91,Buena
21.9,45.1,13.9,15.3,26.3,1.4,0.92,Buena
22.7,68.4,14.6,25.8,26.5,3.0,1.37,Buena
22.4,69.0,9.2,12.2,18.7,4.0,1.15,Excelente
26.1,61.7,5.3,8.6,19.5,9.1,1.07,Excelente
23.9,62.9,8.9,17.3,17.4,4.5,0.93,Excelente
24.6,62.7,13.5,17.9,29.4,7.9,1.51,Buena
25.4,80.0,3.5,11.4,24.1,8.9,1.03,Excelente
25.5,63.8,2.2,4.3,24.9,4.7,1.1,Excelente
27.8,42.1,1.5,5.3,13.5,3.8,1.09,Excelente
28.2,61.2,1.2,10.9,22.7,7.1,1.86,Excelente
37.7,83.0,109.4,119.8,43.1,11.3,1.64,Mala
31.3,73.4,72.8,88.8,54.1,17.1,2.54,Mala
30.4,51.1,1.2,8.0,17.1,4.7,1.0,Excelente
42.6,106.6,82.4,97.2,50.6,16.0,3.17,Mala
32.4,88.5,37.8,57.3,48.5,21.2,2.23,Regular
24.0,43.4,5.4,9.5,15.8,1.7,0.98,Excelente
28.2,62.7,0.1,7.5,17.4,4.7,0.87,Excelente
31.2,62.3,0.9,8.7,20.4,15.0,1.49,Excelente
33.2,57.3,6.3,20.3,31.2,5.8,1.69,Excelente
43.4,78.1,37.0,52.3,44.6,16.0,2.03,Regular
36.0,89.8,33.0,47.9,26.0,-0.1,1.74,Buena
33.1,57.8,17.2,33.0,28.3,9.2,1.38,Buena
34.4,94.5,25.5,48.8,26.3,9.9,1.47,Buena
23.1,39.7,23.4,27.8,20.4,9.6,1.06,Buena
23.7,52.4,0.3,4.5,18.7,6.3,1.04,Excelente
42.0,77.8,36.0,43.7,52.3,22.3,2.42,Regular
35.8,80.0,37.1,44.5,38.0,14.8,2.03,Regular
32.0,89.4,3.6,17.4,21.8,15.8,1.34,Excelente
23.8,79.3,9.2,10.6,22.5,5.5,1.05,Excelente
26.6,95.9,163.1,172.9,32.4,22.5,1.84,Muy Mala
27.0,73.6,0.9,3.1,13.9,4.4,1.2,Excelente
35.3,70.3,27.3,31.9,27.4,11.1,1.75,Buena
25.8,68.3,12.6,19.0,13.0,6.6,1.09,Buena
22.3,66.1,11.3,15.4,26.8,14.1,1.32,Excelente
36.7,44.6,2.4,5.8,28.8,18.1,1.63,Excelente
31.4,81.3,12.3,15.1,31.7,11.9,1.44,Buena
22.5,56.1,27.4,33.8,19.0,5.4,0.87,Buena
35.3,82.2,73.9,91.1,34.3,7.1,2.54,Mala
31.3,71.5,20.2,28.6,21.6,4.4,1.02,Buena
31.7,71.7,18.9,24.8,13.5,3.7,0.78,Buena
28.3,70.2,47.1,53.9,28.6,11.5,1.59,Regular
55.9,87.8,33.9,52.7,28.6,17.5,2.51,Buena
28.7,69.0,19.1,33.7,19.4,11.0,1.24,Buena
18.0,43.2,5.4,10.0,16.4,2.2,1.07,Excelente
27.6,51.3,6.0,12.7,32.6,6.4,1.44,Excelente
26.6,49.0,8.9,12.6,15.1,0.3,0.79,Excelente
28.7,55.1,20.5,23.6,17.3,2.6,0.86,Buena
30.3,58.1,1.8,13.5,29.6,6.5,1.54,Excelente
20.6,88.6,47.9,57.9,28.9,12.3,1.94,Regular
23.5,62.3,6.9,13.9,18.3,4.1,0.92,Excelente
26.6,56.1,1.6,4.6,23.2,4.4,0.87,Excelente
36.6,93.3,46.6,54.0,29.8,19.6,2.12,Regular
29.2,73.0,26.4,30.5,9.3,4.1,1.14,Buena
31.9,70.7,20.2,28.7,29.2,9.7,1.39,Buena
23.1,50.9,6.1,9.2,14.0,8.3,0.87,Excelente
20.9,62.3,7.4,11.1,20.6,3.0,0.96,Excelente
39.8,108.4,30.3,39.3,32.2,21.5,2.03,Buena
30.6,92.3,14.2,30.6,22.4,14.4,1.6,Buena
37.9,67.4,57.9,71.0,21.3,12.3,1.89,Mala
26.7,77.8,4.8,10.4,20.8,6.4,1.05,Excelente
34.7,87.7,44.8,46.0,35.8,11.9,2.11,Regular
34.8,70.4,28.9,46.6,35.7,14.4,1.61,Buena
31.8,67.6,9.8,15.1,29.2,2.1,1.64,Excelente
49.2,81.8,89.9,113.7,48.6,21.6,1.97,Mala
46.4,79.4,116.9,130.4,39.5,25.1,3.14,Mala
23.6,72.6,1.1,4.7,14.0,4.0,1.12,Excelente
29.1,58.0,8.9,13.8,14.6,5.1,0.97,Excelente
34.7,61.7,30.8,38.5,44.7,26.7,2.31,Buena
21.4,65.3,9.9,12.7,25.5,2.5,1.01,Excelente
29.2,54.0,4.7,17.1,37.9,18.2,1.75,Excelente
29.9,69.7,4.0,13.5,25.5,10.5,1.52,Excelente
25.1,43.3,23.0,28.6,24.2,3.9,1.01,Buena
23.2,44.4,4.2,10.9,15.6,8.9,0.86,Excelente
23.3,71.1,23.0,39.0,29.5,11.6,1.21,Buena
30.1,88.2,66.2,70.9,25.0,14.4,1.37,Mala
35.0,92.4,7.4,29.0,25.0,17.9,2.16,Excelente
31.3,75.9,2.7,9.3,29.5,10.7,1.17,Excelente
31.5,67.6,33.4,46.2,22.8,0.7,2.07,Buena
35.7,99.9,20.2,33.8,37.7,18.5,2.08,Buena
37.3,68.2,4.3,20.8,40.3,20.0,2.01,Excelente
21.9,68.0,32.0,37.2,25.5,1.8,1.14,Buena
24.9,47.4,26.1,32.3,11.3,9.8,0.89,Buena
33.2,59.6,11.5,15.6,23.6,6.4,1.25,Excelente
25.1,81.3,11.9,21.9,33.8,8.1,1.48,Excelente
27.6,62.5,8.7,16.0,18.4,3.7,1.02,Excelente
26.8,50.9,17.8,25.3,21.3,3.2,0.98,Buena
37.5,95.7,6.1,28.0,32.9,20.7,1.73,Excelente
26.7,77.3,27.1,33.3,24.1,2.5,1.12,Buena
23.9,79.8,35.5,48.2,25.8,11.1,1.77,Regular
29.8,112.5,40.7,55.3,37.6,25.4,3.17,Regular
26.2,85.9,48.1,60.2,19.8,9.0,1.56,Regular
26.9,74.7,2.7,10.7,25.6,4.3,0.99,Excelente
37.4,77.5,14.6,21.9,28.2,6.5,1.09,Buena
26.7,61.6,12.9,21.1,20.3,7.5,0.99,Buena
36.6,113.1,143.0,167.3,41.8,11.7,2.43,Mala
37.1,105.0,124.5,136.4,41.9,26.0,2.6,Mala
19.6,74.7,1.0,4.6,22.9,4.1,0.94,Excelente
27.0,66.2,6.3,9.7,13.4,4.6,1.0,Excelente
33.8,68.4,24.4,30.4,25.6,7.7,1.26,Buena
24.7,55.9,18.5,23.2,18.6,2.7,0.94,Buena
21.7,76.4,20.8,25.5,20.9,2.8,0.95,Buena
24.6,77.2,6.5,11.2,24.4,5.4,0.65,Excelente
26.5,45.3,9.4,15.0,13.1,0.4,0.99,Excelente
22.1,53.8,6.9,19.6,18.8,5.7,1.65,Excelente
39.5,109.6,84.7,99.4,30.1,18.9,3.48,Mala
28.4,65.8,10.9,22.2,27.5,11.9,1.7,Excelente
32.6,78.3,4.6,24.6,25.8,21.2,1.97,Excelente
31.9,65.2,15.9,19.4,30.3,28.2,1.82,Buena
25.4,75.3,0.7,2.9,23.3,7.3,0.85,Excelente
43.2,85.0,152.7,178.1,38.6,28.2,2.7,Muy Mala
23.3,70.8,23.7,36.1,23.5,8.4,1.43,Buena
26.1,78.1,6.2,11.5,13.0,5.3,0.88,Excelente
32.2,81.3,3.9,15.4,46.5,20.9,2.03,Excelente
32.0,62.5,0.1,5.1,20.2,4.6,0.89,Excelente
31.2,77.6,12.1,15.2,26.6,4.5,0.91,Buena
22.6,72.0,40.4,46.2,14.6,4.5,1.04,Regular
17.5,45.0,21.2,25.9,14.3,5.3,0.78,Buena
47.1,104.3,0.7,3.4,34.4,5.9,2.34,Excelente
23.7,73.0,16.4,21.4,21.7,9.5,1.66,Buena
23.5,60.8,10.3,14.3,12.8,1.7,0.98,Excelente
39.7,85.9,67.6,88.8,21.3,22.3,1.9,Mala
47.3,64.8,2.5,21.8,41.0,17.3,1.95,Excelente
34.0,83.2,19.3,39.1,45.1,21.0,2.28,Buena
22.9,63.8,2.9,9.4,16.7,0.4,0.98,Excelente
38.4,66.6,15.2,36.5,39.2,14.5,1.86,Buena
28.8,64.9,16.7,27.9,11.7,5.6,0.85,Buena
35.0,76.4,20.3,28.2,19.9,11.2,1.68,Buena
31.4,73.5,3.8,11.4,30.4,2.5,1.69,Excelente
17.4,43.7,10.8,17.5,25.0,1.5,0.83,Excelente
25.5,60.7,9.2,17.3,22.8,6.3,1.05,Excelente
25.5,59.6,5.6,12.0,11.6,7.6,1.01,Excelente
39.8,84.9,33.8,51.8,29.2,15.9,1.92,Buena
35.0,71.5,10.2,18.8,28.7,11.4,1.46,Excelente
27.7,72.3,40.7,52.1,16.5,6.3,0.98,Regular
23.2,74.7,2.6,14.7,21.1,1.6,1.3,Excelente
22.1,49.1,11.2,13.8,25.3,6.8,0.72,Excelente
19.6,59.7,10.2,18.3,23.2,0.9,1.03,Excelente
29.7,63.0,25.6,27.1,16.0,5.1,1.06,Buena
26.3,79.9,3.0,8.1,14.6,9.1,1.02,Excelente
27.1,56.4,52.6,60.5,26.8,7.7,1.33,Regular
34.0,86.5,48.7,58.1,59.3,9.6,3.37,Regular
29.0,88.6,13.2,33.7,36.1,13.1,2.32,Buena
28.2,87.5,2.8,10.6,27.0,8.3,1.77,Excelente
41.0,60.0,46.3,58.9,38.9,19.7,1.45,Regular
34.3,48.9,18.1,27.7,29.2,5.4,1.65,Buena
32.3,87.5,1.1,5.4,23.1,8.7,1.52,Excelente
27.3,79.7,3.5,7.7,27.5,5.4,1.05,Excelente
22.9,62.2,18.8,26.5,29.4,4.7,1.23,Buena
22.3,68.9,9.3,14.7,17.2,3.5,0.97,Excelente
21.1,60.1,1.8,11.2,22.0,2.3,1.04,Excelente
32.2,77.3,6.3,18.6,17.3,13.3,1.6,Excelente
24.5,59.8,5.2,11.3,25.9,7.5,1.15,Excelente
25.8,77.8,3.3,9.3,19.5,6.3,1.27,Excelente
21.3,70.4,11.7,16.8,25.4,0.4,0.84,Excelente
30.8,69.0,8.1,21.3,17.8,8.0,1.37,Excelente
20.4,59.3,0.4,4.2,23.4,4.3,1.0,Excelente
29.9,78.1,57.8,60.5,26.5,11.6,1.19,Mala
19.5,48.2,1.0,7.4,18.7,6.8,0.92,Excelente
29.5,41.5,4.7,8.7,21.5,1.8,1.09,Excelente
25.2,43.9,0.4,4.9,12.3,4.8,1.08,Excelente
39.1,91.6,139.5,154.6,49.8,17.7,3.32,Desconocido
24.9,70.5,0.2,5.9,12.5,6.9,1.07,Excelente
28.9,65.5,1.2,4.7,24.0,3.7,1.02,Excelente
21.9,71.2,5.1,10.4,17.1,3.8,0.95,Excelente
22.6,47.3,1.8,9.0,22.5,5.0,1.17,Excelente
35.2,51.3,0.5,16.0,36.2,11.6,1.59,Excelente
35.9,70.8,30.1,48.9,35.1,10.2,1.86,Buena
24.2,62.7,4.5,8.5,22.3,0.3,0.99,Excelente
31.5,80.0,86.1,89.9,22.7,10.5,1.41,Mala
35.0,57.4,0.7,5.1,25.3,16.0,1.42,Excelente
18.8,57.1,37.2,46.4,37.4,24.5,2.01,Regular
24.0,42.5,9.9,14.9,25.9,3.9,0.91,Excelente
43.5,89.6,20.9,46.8,41.5,14.2,2.31,Buena
21.7,75.0,10.3,15.5,13.4,4.5,1.15,Excelente
17.6,77.1,20.0,24.3,22.6,5.2,0.99,Buena
30.9,49.5,0.3,5.5,20.1,3.5,0.93,Excelente
33.9,59.2,61.7,81.9,41.5,21.6,1.72,Mala
25.1,56.1,4.2,10.2,21.7,8.7,0.98,Excelente
23.5,54.8,2.3,9.1,15.4,5.7,1.06,Excelente
30.0,61.7,0.1,15.6,19.2,8.0,1.83,Excelente
32.0,48.9,14.9,36.0,29.4,27.4,2.41,Buena
33.8,68.0,41.8,47.8,34.5,9.3,1.37,Regular
31.0,46.3,12.4,31.1,30.1,19.2,1.31,Buena
33.4,76.3,3.2,7.9,23.7,3.8,1.89,Excelente
32.9,102.4,26.6,41.3,26.6,15.7,1.86,Buena
31.0,53.4,5.7,13.7,36.4,9.1,1.51,Excelente
35.4,85.1,18.4,25.0,25.3,6.5,1.56,Buena
26.9,72.5,17.1,37.3,26.9,5.2,1.52,Buena
23.0,43.6,1.7,7.5,24.5,5.9,0.88,Excelente
40.5,87.4,11.0,17.9,19.4,15.2,1.44,Excelente
26.8,47.4,8.7,14.2,14.3,3.6,1.08,Excelente
39.3,104.7,1.1,14.1,38.6,15.6,2.74,Excelente
34.2,89.5,95.6,110.4,34.9,10.0,1.98,Mala
40.8,80.0,27.9,44.3,52.3,19.3,2.06,Buena
33.8,92.2,18.0,41.1,25.2,15.7,2.11,Buena
29.9,72.8,59.1,70.0,24.4,26.2,1.97,Mala
29.4,64.6,13.7,29.0,27.6,13.0,1.83,Buena
21.7,42.4,13.3,17.0,17.8,7.4,1.09,Buena
24.4,54.0,2.2,5.3,27.9,5.3,1.05,Excelente
27.6,84.1,0.8,12.4,26.5,13.1,1.55,Excelente
30.4,67.5,16.5,21.0,43.4,15.4,1.97,Buena
27.7,62.9,17.5,24.0,22.5,18.1,1.56,Buena
23.3,48.1,32.0,35.7,23.1,1.1,0.93,Buena
21.1,54.2,49.3,59.1,30.7,9.9,1.5,Regular
25.4,44.4,0.4,7.0,22.9,3.7,1.16,Excelente
29.5,54.8,6.7,15.1,14.0,6.6,0.78,Excelente
45.0,82.6,17.4,27.2,46.3,10.1,2.82,Buena
26.2,51.9,9.4,13.7,22.5,4.9,1.01,Excelente
29.4,44.4,11.1,18.8,19.1,6.2,0.99,Excelente
31.9,91.7,5.0,6.8,24.8,16.8,2.05,Excelente
36.9,84.6,8.0,23.5,36.2,20.6,2.29,Excelente
32.2,62.2,20.2,34.3,33.7,26.4,2.12,Buena
24.1,77.2,0.1,9.6,20.9,2.2,0.86,Excelente
22.3,40.5,2.6,7.1,23.8,4.4,0.85,Excelente
31.2,60.4,2.5,5.5,22.1,15.1,2.06,Excelente
28.3,82.6,18.2,25.7,29.0,6.7,1.49,Buena
35.8,87.2,5.2,15.7,45.1,23.3,1.63,Excelente
25.7,65.8,8.5,15.1,18.6,5.0,0.93,Excelente
